Attribute,Subgroup,N,N_Deaths,Prevalence,AUROC,AUROC_CI_Lower,AUROC_CI_Upper,AUPRC,Sensitivity,FNR,Specificity,PPV,Brier
gender,F,3111,378,0.12150433944069432,0.858060990790592,0.837161302747573,0.8771511651339073,0.5492313684206626,0.746031746031746,0.25396825396825395,0.8013172338090011,0.3418181818181818,0.11946273266197106
gender,M,4311,468,0.10855949895615867,0.8782318167564069,0.8635303385202607,0.8927529524396249,0.5474421964366265,0.7606837606837606,0.23931623931623933,0.8178506375227687,0.3371212121212121,0.10947772849242442
age_band,30-39,402,19,0.0472636815920398,0.9384361687508588,0.8942418716368529,0.9747358300947773,0.5625568178536351,0.7894736842105263,0.21052631578947367,0.9033942558746736,0.28846153846153844,0.053571550447912196
age_band,40-49,770,47,0.06103896103896104,0.8793737676937111,0.8263127191431052,0.9275689888063496,0.4972861718231949,0.6595744680851063,0.3404255319148936,0.9031811894882434,0.3069306930693069,0.06858225647462612
age_band,50-59,1288,116,0.09006211180124224,0.881678827821584,0.8481898943057277,0.9119637612034237,0.4926622014269489,0.6810344827586207,0.31896551724137934,0.8796928327645052,0.35909090909090907,0.087545605407635
age_band,60-69,1590,145,0.09119496855345911,0.8948478701825557,0.8683154305013585,0.9182347714897052,0.5393654297997154,0.7379310344827587,0.2620689655172414,0.8657439446366783,0.3554817275747508,0.09110623600328915
age_band,70-79,1517,207,0.13645352669742913,0.811631080134233,0.7817144457141232,0.840984853394395,0.489704119403908,0.7246376811594203,0.2753623188405797,0.7564885496183206,0.31982942430703626,0.14017612923533548
age_band,80-89,1181,214,0.18120237087214225,0.8388357865640916,0.8111807840063381,0.8680943517504296,0.6166021115364025,0.8177570093457944,0.1822429906542056,0.656670113753878,0.34516765285996054,0.1750761132359447
age_band,90+,381,79,0.2073490813648294,0.81142593679269,0.7519089828689098,0.8634781260630452,0.6408383205827062,0.8607594936708861,0.13924050632911392,0.5463576158940397,0.33170731707317075,0.20231420924821888
age_band,<30,293,19,0.06484641638225255,0.9433346139070302,0.894536209613211,0.9789946413347949,0.6258043899920127,0.6842105263157895,0.3157894736842105,0.9525547445255474,0.5,0.051711609423962905
ethnicity_group,Asian,188,28,0.14893617021276595,0.8729910714285714,0.8117342597844583,0.933638392857143,0.6018677158707819,0.75,0.25,0.775,0.3684210526315789,0.12986014325629364
ethnicity_group,Black,702,63,0.08974358974358974,0.8739349678316815,0.8317975394825297,0.9166074422635758,0.5413537371576261,0.7301587301587301,0.2698412698412698,0.812206572769953,0.27710843373493976,0.10682809350703985
ethnicity_group,Hispanic,261,16,0.06130268199233716,0.8298469387755102,0.7192712977358607,0.9276506242740998,0.36686767464620723,0.75,0.25,0.8204081632653061,0.21428571428571427,0.10485386566198016
ethnicity_group,Other-Unknown,972,178,0.1831275720164609,0.883876262983613,0.8583774195727079,0.9059729392769382,0.6629436813371976,0.7696629213483146,0.2303370786516854,0.8337531486146096,0.5092936802973977,0.11178881942208482
ethnicity_group,White,5299,561,0.10586903189280997,0.86759702154011,0.8512402999312326,0.8822557484127416,0.5295850282523663,0.7522281639928698,0.24777183600713013,0.8077247783875052,0.31657914478619653,0.11477154724515289
insurance,Government,208,14,0.0673076923076923,0.9672312223858617,0.9332427857506639,0.9919004006241672,0.7642368590179294,0.8571428571428571,0.14285714285714285,0.9072164948453608,0.4,0.05368311050935734
insurance,Medicaid,602,46,0.07641196013289037,0.8912261495151705,0.8553053985239978,0.9255108403641482,0.45895961547855435,0.6304347826086957,0.3695652173913043,0.8579136690647482,0.26851851851851855,0.09036124432406589
insurance,Medicare,4157,589,0.14168871782535483,0.8413408281117956,0.8235103812137593,0.8581866506939402,0.5553921203286475,0.769100169779287,0.23089983022071306,0.741872197309417,0.3296943231441048,0.14348010034354755
insurance,Private,2365,182,0.07695560253699789,0.8979803979803979,0.8739474342713818,0.9194750202644899,0.5255528341287239,0.7307692307692307,0.2692307692307692,0.8996793403573065,0.3778409090909091,0.07403561985555178
insurance,Self Pay,90,15,0.16666666666666666,0.9253333333333333,0.8540998284551871,0.9825061680469289,0.8012203412203411,0.7333333333333333,0.26666666666666666,0.92,0.6470588235294118,0.07224971874102704
