Feature,Importance
gcsverbal,0.08471153
lactate_min,0.06119057
sysbp_min,0.045317035
gcsmotor,0.040281568
resprate_mean,0.0382919
admission_age_raw,0.037220035
gcseyes,0.03422696
spo2_min,0.031505346
creatinine_min,0.031216597
platelet_min,0.02816984
lactate_max,0.02707513
sodium_max,0.025615241
tempc_mean,0.025036966
resprate_min,0.024664568
glucose_min,0.023482876
hemoglobin_max,0.021684866
wbc_min,0.020780131
heartrate_max,0.020209353
creatinine_max,0.019463165
sysbp_mean,0.018951131
platelet_max,0.017954513
heartrate_mean,0.015949931
spo2_mean,0.015915815
potassium_max,0.01581182
meanbp_mean,0.0156068355
hematocrit_min,0.01517336
hematocrit_max,0.015133519
meanbp_min,0.014752179
chloride_max,0.014694376
tempc_min,0.014585825
heartrate_min,0.014182573
tempc_max,0.013954912
mingcs,0.013437908
chloride_min,0.013415141
potassium_min,0.012556679
sodium_min,0.012201529
diasbp_mean,0.011861804
sysbp_max,0.011827392
diasbp_min,0.011703358
hemoglobin_min,0.011649768
resprate_max,0.0116150975
wbc_max,0.011576421
glucose_max,0.01048986
meanbp_max,0.009002133
diasbp_max,0.0088590905
spo2_max,0.006993311
