Feature,Mean_Abs_SHAP
admission_age_raw,0.41288328
gcsverbal,0.38007247
lactate_min,0.23744774
resprate_mean,0.20597735
gcseyes,0.19138515
hemoglobin_max,0.17365825
sysbp_min,0.1602851
heartrate_max,0.14690097
creatinine_min,0.14281096
spo2_min,0.1419205
platelet_min,0.14025389
wbc_min,0.139475
glucose_min,0.1330924
lactate_max,0.120682396
gcsmotor,0.11520991
spo2_mean,0.10048108
sodium_max,0.098307975
hematocrit_min,0.09813044
potassium_max,0.09669855
sysbp_mean,0.08919625
tempc_mean,0.08829891
creatinine_max,0.08710165
resprate_min,0.07730402
heartrate_mean,0.073969714
potassium_min,0.07067936
tempc_max,0.066949174
tempc_min,0.06258607
platelet_max,0.057539117
hematocrit_max,0.055865273
meanbp_mean,0.05374465
heartrate_min,0.053473763
chloride_min,0.048703242
diasbp_min,0.046694927
resprate_max,0.044615794
meanbp_min,0.044500925
diasbp_mean,0.042698864
wbc_max,0.04269323
chloride_max,0.042064194
hemoglobin_min,0.034972865
glucose_max,0.032698784
sysbp_max,0.02600568
sodium_min,0.022044897
diasbp_max,0.018346814
mingcs,0.014942919
meanbp_max,0.01476301
spo2_max,0.004090999
